"teamName","inGameName","checkedInAt"
"Momentum","SquishyMuffinz","Fri Jul 15 2016 23:00:11 GMT+0000 (UTC)"
"The Night Team","[TNT]Nekan",
"The Night Team","[TNT]Arkkën",
"The Night Team","[TNT]Limit",
"The Night Team","[TNT]Utsuho Reiuji",
"OverPowered Barrel","Répi","Fri Jul 15 2016 23:07:08 GMT+0000 (UTC)"
"OverPowered Barrel","Ninja23509","Fri Jul 15 2016 23:07:08 GMT+0000 (UTC)"
"OverPowered Barrel","Diplex","Fri Jul 15 2016 23:07:08 GMT+0000 (UTC)"
"Team Wild","KillWill72","Fri Jul 15 2016 23:18:26 GMT+0000 (UTC)"
"Team Wild","G1oryManU402","Fri Jul 15 2016 23:18:26 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","TheLastNinjaCow","Fri Jul 15 2016 23:06:32 GMT+0000 (UTC)"
"The Gassy Mexicans","GeamGe",
"Stuck in Challenger","Cacamaa",
"Stuck in Challenger","Barney",
"Stuck in Challenger",":)",
"Stage 1 Hypertension","InanimateJ","Fri Jul 15 2016 23:00:27 GMT+0000 (UTC)"
"Stage 1 Hypertension","Minamacky","Fri Jul 15 2016 23:00:27 GMT+0000 (UTC)"
"Team Wild","Scooby_Dube22","Fri Jul 15 2016 23:18:26 GMT+0000 (UTC)"
"Stage 1 Hypertension","Turtlebear","Fri Jul 15 2016 23:00:27 GMT+0000 (UTC)"
"SALMON-KINGDOM [SaMn]","[SaMn] Gandy",
"We Hoop It In Purrfectly","Walden","Fri Jul 15 2016 23:05:44 GMT+0000 (UTC)"
"SALMON-KINGDOM [SaMn]","[SaMn] Kinky Ass Smurf",
"SALMON-KINGDOM [SaMn]","CROSSIE GAMING",
"We Hoop It In Purrfectly","ericbordago","Fri Jul 15 2016 23:05:44 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","recall9","Fri Jul 15 2016 23:06:32 GMT+0000 (UTC)"
"Dzair","""9arsa""AzizNeSenfuiPas","Fri Jul 15 2016 23:08:14 GMT+0000 (UTC)"
"Dzair","JeSuisSucré","Fri Jul 15 2016 23:08:14 GMT+0000 (UTC)"
"Literally","JWismont","Fri Jul 15 2016 23:18:53 GMT+0000 (UTC)"
"CantHandleMySkills.com","CHMS.com | Pierre","Fri Jul 15 2016 23:07:36 GMT+0000 (UTC)"
"CantHandleMySkills.com","CHMS.com | Misstah J","Fri Jul 15 2016 23:07:36 GMT+0000 (UTC)"
"CantHandleMySkills.com","vortex|yogert999","Fri Jul 15 2016 23:07:36 GMT+0000 (UTC)"
"No Capes!","Tyme","Fri Jul 15 2016 23:19:12 GMT+0000 (UTC)"
"Dude AF","slap_city_","Fri Jul 15 2016 23:17:39 GMT+0000 (UTC)"
"PotatOS","LinkFullAD",
"Projeto Rocketeer","Rotiv Sinid","Fri Jul 15 2016 23:32:23 GMT+0000 (UTC)"
"Brasil Elite","_joalzz_",
"Brasil Elite","miojomal",
"Brasil Elite","SrAlpha",
"The Rocket Pod","Nagz","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"Shots Fired","Aeros","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"Shots Fired","TheGazel","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"Shots Fired","Mykoo","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"Shift Kickers","devildog_37","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"Shift Kickers","The_FearlessGod1","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"Shift Kickers","ImJustBuck","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"Shift Kickers","SnizosaurusRex23","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"Shift Kickers","HammerPinger","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"Shift Kickers","Zero1337","Fri Jul 15 2016 23:13:06 GMT+0000 (UTC)"
"OverPowered Barrel","Liberato","Fri Jul 15 2016 23:07:08 GMT+0000 (UTC)"
"The Rocket Pod","MixonDixon","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"The Rocket Pod","Senor Flippy Floppy","Fri Jul 15 2016 23:01:09 GMT+0000 (UTC)"
"Team Super Saiyan","2Vac Shakur","Fri Jul 15 2016 23:51:04 GMT+0000 (UTC)"
"Boost Buds","Liefx","Fri Jul 15 2016 23:03:20 GMT+0000 (UTC)"
"Boost Buds","chucknorrispwns","Fri Jul 15 2016 23:03:20 GMT+0000 (UTC)"
"Boost Buds","Lawler","Fri Jul 15 2016 23:03:20 GMT+0000 (UTC)"
"Daedalus 9","Ryker",
"Daedalus 9","Exes",
"Ping Pong RNG Gods","Vafele","Fri Jul 15 2016 23:09:12 GMT+0000 (UTC)"
"Ping Pong RNG Gods","AirRejectz-","Fri Jul 15 2016 23:09:12 GMT+0000 (UTC)"
"Ghostboosters","northendtrooper","Fri Jul 15 2016 23:00:41 GMT+0000 (UTC)"
"Event horizon","Pro","Fri Jul 15 2016 23:00:32 GMT+0000 (UTC)"
"Daedalus 9","lazerlord",
"Daedalus 9","Saucy",
"NPJ","oXxWATTxXo",
"Ironhype","Coach","Fri Jul 15 2016 23:02:26 GMT+0000 (UTC)"
"Foresight","Genocop","Fri Jul 15 2016 23:01:31 GMT+0000 (UTC)"
"Ping Pong RNG Gods","tankrgh","Fri Jul 15 2016 23:09:12 GMT+0000 (UTC)"
"Foresight","Chrome","Fri Jul 15 2016 23:01:31 GMT+0000 (UTC)"
"We Hoop It In Purrfectly","Ace Ablaze","Fri Jul 15 2016 23:05:44 GMT+0000 (UTC)"
"Foresight","Insolences","Fri Jul 15 2016 23:01:31 GMT+0000 (UTC)"
"Make 'em Pay","jabroke","Fri Jul 15 2016 23:04:14 GMT+0000 (UTC)"
"Dishonored","Kitchens","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"Im6ued","APE","Fri Jul 15 2016 23:57:40 GMT+0000 (UTC)"
"Dishonored","Qlimax","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"Dzair","WolfMynd | JSCO","Fri Jul 15 2016 23:08:14 GMT+0000 (UTC)"
"Mystery eSports","Mystery | FORfallenTROOPS.tv","Fri Jul 15 2016 23:41:49 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","JammyAntics67","Fri Jul 15 2016 23:06:32 GMT+0000 (UTC)"
"Exodus","Garrett G","Fri Jul 15 2016 23:24:41 GMT+0000 (UTC)"
"Three Musketeers","Grant>>>Live@TheRealR3zM","Fri Jul 15 2016 23:39:25 GMT+0000 (UTC)"
"Exodus","Turtle","Fri Jul 15 2016 23:24:41 GMT+0000 (UTC)"
"Three Musketeers","Happy","Fri Jul 15 2016 23:39:25 GMT+0000 (UTC)"
"Three Musketeers","Gumpy","Fri Jul 15 2016 23:39:25 GMT+0000 (UTC)"
"Three Musketeers","Happy","Fri Jul 15 2016 23:39:25 GMT+0000 (UTC)"
"Team Super Saiyan","Zytox","Fri Jul 15 2016 23:51:04 GMT+0000 (UTC)"
"Team Super Saiyan","TeamVieze013","Fri Jul 15 2016 23:51:04 GMT+0000 (UTC)"
"Red Lotus","gibsorya","Fri Jul 15 2016 23:56:56 GMT+0000 (UTC)"
"Red Lotus","Taylor Swift","Fri Jul 15 2016 23:56:56 GMT+0000 (UTC)"
"Red Lotus","Troy","Fri Jul 15 2016 23:56:56 GMT+0000 (UTC)"
"Team Last Minute","Robo","Fri Jul 15 2016 23:57:15 GMT+0000 (UTC)"
"Team Last Minute","Rocketpower","Fri Jul 15 2016 23:57:15 GMT+0000 (UTC)"
